host,port,secure,anonymity,country_code,available,error_rate,average_response_time
187.243.255.174,8080,1,None,MX,1,0.0,1.29
187.243.255.174,8080,0,H,MX,1,0.0,1.29
113.130.126.2,31932,1,None,KH,1,0.0,1.45
139.162.78.109,8080,0,H,JP,1,0.5,0.27
79.120.177.106,8080,1,None,HU,1,0.0,0.81
91.193.253.188,23500,1,None,UA,1,0.33,3.06
182.253.207.36,8080,0,T,ID,1,0.0,2.1
182.253.207.36,8080,1,None,ID,1,0.0,2.1
46.175.70.69,44239,1,None,UA,1,0.25,2.67
94.141.117.1,8080,0,H,RU,1,0.4,1.22
198.199.86.11,3128,0,H,US,1,0.5,0.13
102.129.249.120,8080,0,H,--,1,0.5,0.28
167.71.5.83,8080,0,H,US,1,0.5,0.82
